x,y
18549.2898,82369.866375
20948.9802,82018.8606
23228.6556,81806.900775
19616.6232,78935.6943
22355.937,78154.2252
20651.6859,75323.98575
19450.3167,71947.211325
10604.4492,69592.231275
12005.5386,67522.5345
17006.7351,70146.84345
17253.4326,66726.044475
15970.2246,65901.13185
13908.9765,65942.670375
10830.3822,65109.3948
21877.6296,69385.386375
24692.9529,65574.452925
12526.9371,64506.59565
12910.5279,66223.68645
9692.7162,65386.086525
10925.8227,68044.152075
11533.0605,66424.3401
17179.5948,68499.885225
11957.685,65562.070425
13098.9705,65529.2949
11517.8586,64611.6945
13900.4802,64381.32285
14816.8995,64329.6021
13081.0254,63525.8826
13897.356000000002,63484.763175
14704.1616,63429.822975
12190.1712,62473.798725
13083.4257,62473.6368
13893.0888,62280.631725
14697.3798,61899.8127
12295.0224,61112.371425
13166.2932,61130.678475
11856.9867,60150.0321
13891.4886,61003.729275
11859.5013,59404.253175
12271.9719,59841.003
13065.7854,59857.605075
13874.3817,59798.740575
11840.2608,57783.631575
12248.4261,58431.636375
13003.4157,57900.4414125
13885.8879,58284.494175
10835.3733,57623.06865
10610.8119,56542.562175
11432.0955,57168.0070125
8868.2703,56883.1428375
9387.8781,56365.27335
9853.6887,56353.5147375
8965.2729,55340.5500375
9776.46,55160.8609125
11427.7902,56330.5118625
10584.6753,55115.9029125
11392.6239,55137.558
8949.1566,53930.5881
9744.7227,53931.9216
10608.0687,53901.7606875
11326.6728,53886.058725
12220.6893,56326.56375
12193.0287,54982.2243
13029.4761,56291.940375
12794.2848,54820.9089
12234.1767,53662.99275
12771.8439,53639.265975
14670.6336,60964.1148
14621.5608,59635.310625
13744.7655,56903.6692125
13598.7663,55796.7261
14690.3313,58261.081725
14254.8483,57441.9650625
14187.1446,56220.83625
14652.0408,56906.82675
14661.5658,55490.3782875
14328.3051,54770.912175
13797.6102,53825.4559125
14830.3488,54429.5838
15598.902,64169.172525
15507.6144,61867.82775
15498.9657,60294.707325
16317.9252,61139.9463
15480.1824,58438.227675
16333.47,63745.881525
17134.4844,64384.170825
18122.4936,65585.406675
18085.0413,63087.646875
17032.7574,61146.585225
19371.0306,63821.014725
16426.9293,59419.14075
17211.6369,59397.338025
16281.1587,57908.13285
15957.1563,56462.590275
15449.4738,55637.86815
16292.8935,54649.7113125
12741.5925,51948.140325
17073.9054,56357.0389875
18075.8211,57671.446125
18956.0073,55825.3011
18270.9693,55350.5893875
17069.9049,54601.9243875
18340.7304,53744.7744
17235.4113,52948.9035
18582.2844,52634.149875
16260.7752,52874.8894875
15836.3031,53737.9116375
15330.297,53235.0964125
15374.3025,52065.7455
14633.7147,52425.1951875
13569.7341,52251.38775
15046.6806,55995.13185
14708.2383,53185.933125
11438.0772,52813.0722375
10620.3369,52361.45865
10596.1053,53271.143775
8910.828000000001,52977.907125
7953.4893,52194.4520625
8030.4132,51037.4646
8702.5734,51750.229875
8673.9222,50682.591675
9302.496,51632.6199375
9262.0338,50099.8283625
9920.3256,51554.9626125
10502.0364,49993.2055125
10552.4427,51300.0545625
10980.9534,50648.5017
11388.1281,50810.52195
11878.9323,48335.3030625
11863.578,49100.793975
11973.4965,50144.9197125
12764.1858,51218.430075
13076.2629,50156.4354375
12811.9632,49143.904125
13342.5819,48939.0070875
14597.4054,50975.1663375
14473.6566,50038.34925
14089.3419,49035.5382
12660.9348,48289.7259375
13579.221,48266.6182875
14240.7513,48250.516275
12809.7915,47621.8138875
13379.3865,47810.5898625
13818.9843,47433.156975
13496.8869,46869.638925
14686.5594,47454.6882375
14716.2393,49156.1675625
15269.718,48495.6373875
15710.2683,48058.7256375
16003.6002,47620.989975
17010.8499,47591.3910375
16580.0151,48823.6593375
14624.1135,51689.3413125
15946.1073,51088.671
15937.611,51661.628325
15302.9031,49568.090475
16139.6553,50185.577175
16050.006,48942.507525
17456.658,51083.4513
17816.8173,50016.156
19079.9085,50642.52
20194.0668,61636.722675
21797.2386,61278.049275
21246.084,63463.693875
22949.8779,62773.455225
21749.8422,59264.083275
24140.8458,63614.33175
25221.3618,63539.341425
23469.981,59500.455675
21594.5466,50055.37995
24817.3113,61735.458825
26722.8447,63133.77645
25767.9825,59279.551875
24763.9332,59165.8329
23159.9613,57382.54335
25504.4448,57545.0160375
26562.9009,54993.9733875
23498.9751,54604.1961
25043.7396,54988.3060125
24835.104,53407.065525
23750.4351,50531.7490125
23307.7512,48168.9918
24834.9135,49677.7137
24512.4351,47697.7281375
27216.8493,53364.66975
27481.4157,54322.875225
26350.9125,49307.334075
28043.0097,49569.843075
28073.9088,52206.1297125
28751.5173,54121.7881875
29917.3392,54593.118525
29002.5582,57039.91005
28498.1523,64100.344875
31515.8628,63823.7103
32939.3169,63012.970875
32273.2908,58718.8437
30460.3404,58553.784975
31217.5398,56212.68285
31886.5377,55678.511325
30884.5077,53768.196375
29291.5086,53062.7605875
30634.9146,51274.19895
28873.7421,50906.6911125
27283.8672,51186.0546
31992.4176,49588.4835
30572.6592,49368.1083375
28914.6234,49420.529175
29677.3473,47812.3805625
28871.2275,47835.7072875
27937.8537,47888.1138375
26454.2397,47896.8958875
25593.2559,48214.9737375
24405.1836,47776.8999375
28020.4164,45478.9651125
23592.3963,46318.6986375
24795.8229,46516.04235
24091.3158,45228.4480875
26400.3663,45659.7591375
35953.2936,62868.933825
45536.0532,57251.0078625
39974.5962,60895.2681
37516.5747,57142.7943375
45092.112,49556.65095
34319.4894,51618.7134375
36102.0741,47967.19515
36174.5022,43786.0487625
36730.2288,40161.38145
47063.787,41808.3539625
50697.2697,40452.4035375
52273.1238,36655.6671
54251.2377,33452.1190875
44027.8266,37093.9933125
40537.4475,38489.4629625
37908.2808,38724.8638125
35695.9281,37785.4892625
33991.9818,39792.3639
31401.6771,41884.854
28310.1669,43663.0953
25809.2448,43752.7446
23904.1686,43764.8365875
21310.3587,44752.4552625
13491.9339,46010.4791625
15299.3979,45723.152775
16211.931,45038.381475
17539.5636,45016.131075
21817.6221,43008.222975
21973.8702,40583.0484375
24960.7578,42254.3859
27495.3222,41655.1872
13156.5396,43082.0845875
14450.1108,43040.7841875
14447.7867,44646.580125
16414.6992,43629.05295
10801.2357,42997.6645125
7611.6561,43893.3002625
9633.3183,44268.48525
9569.3865,42050.9366625
9397.7079,40134.701925
8486.013,41566.9333125
11746.6491,41323.2742875
11901.1446,39083.713425
13545.0834,40257.974475
15096.0201,40611.923475
15940.5066,41731.9968
17151.0579,42005.4738375
18510.8088,39170.8338375
16188.5376,39079.2414375
10254.9579,38179.619475
9015.3363,37622.6832
10229.0499,35167.204875
11404.8921,37661.592825
11808.7521,35024.653725
13398.2079,37954.181775
13032.8289,35838.812625
14091.0564,35556.986925
15204.6432,38720.3061
16481.1075,36342.1469625
15062.1492,36616.7812875
4187.0757,36632.5261125
18900.0765,37141.089675
18248.9475,35260.3689
17404.3848,39314.656575
17359.3125,37220.82345
15322.3341,34584.4796625
12367.0695,31816.8004125
13384.3776,33301.5478875
20853.0063,35100.3631875
22009.1508,32756.9179125
18937.3002,33765.3772875
11374.8312,30234.3073875
13324.6368,30662.78475
16763.1237,30972.9378
14710.5624,32192.2949625
17080.3824,32116.75695
18470.5752,31031.640375
13131.1269,26746.914375
13722.5532,28642.2846
16134.0927,29031.733275
17845.2018,27359.1385125
19289.6871,29840.177175
21894.7365,31397.9099625
25423.4061,39648.9412125
24700.4205,38627.4611625
23695.152,37629.9650625
26842.4787,36093.5254125
25088.0118,35031.426
23285.3484,34452.4203
23368.2159,33061.303575
26185.7871,33586.674
30041.3547,33436.9933875
28536.2142,31983.8593875
26288.3142,31550.105175
22785.5145,30576.0643875
24731.7387,31280.7429375
26882.2932,29625.5074875
28731.6672,28275.9388125
19912.9269,28194.2905125
22033.2681,28377.92775
23623.7526,28691.1240375
23573.9178,26390.7603375
3538.9947,20494.7186625
3230.4228,34586.141775
3692.8806,26524.8247125
298.9707,19314.85215
1875.5868,22250.95245
3239.8335,23775.29535
5297.5383,25058.570025
5392.1406,22168.7136
4849.1394,20913.09
3803.523,31075.3506
31327.5726,30564.1390875
35172.7008,25232.0726625
36813.0201,18827.638875
37699.8738,13375.2955125
38890.2702,5972.95605
38849.6937,1671.437475
34616.6694,2471.9256189024
29759.3385,5857.9369125
34250.2998,18579.1744875
31855.2195,19075.4508
29490.2001,19222.0596
27577.3134,19038.2318625
21620.7975,8383.9454810976
22074.2637,10528.6254375
25879.7679,10241.9038875
22482.5052,11612.0751375
10903.3437,11672.877975
9747.123,14379.4114875
9392.3358,12477.1665939024
12820.3452,14546.3085375
13883.4495,11619.6999
14667.9666,14024.8909875
15289.3395,12749.95545
16120.7577,11981.7427689024
25652.8062,22291.2432
25816.179,20676.155625
25822.8465,18984.2775
24827.5983,14346.1668560976
25010.3259,17719.2884439024
21782.3034,24902.25525
19602.6405,25258.98555
19843.8897,22372.481925
23299.1025,22330.781475
23367.1872,20590.7592375
21038.5914,21959.9208375
20958.8862,19324.83435
21527.7192,15225.7363125
13892.3649,24664.416
15933.0771,24929.9110875
14861.6289,22445.03385
16278.987,23061.0537
17888.5977,21407.2231875
16611.1047,20456.6662875
15904.2735,18942.7246875
16087.725,16134.9642375
19822.3632,18536.2596
19710.3873,15383.4607875
15034.2219,19507.5571875
14608.4544,15707.7417939024
15821.2917,14351.9056689024
17563.3761,13186.9005375
22109.7729,13580.9688375
20729.448,13610.224875
18872.7207,12268.266675
